id,thread_number,retweets,likes,replies
976673323496034304,Thread 9,17,30,1
976674239280570369,Thread 9,16,27,2
976674825426096128,Thread 9,15,28,2
976675389610381312,Thread 9,16,30,1
976675904159023104,Thread 9,14,26,1
976677598616084480,Thread 9,13,26,1
976678247168651264,Thread 9,19,31,2
976678711989882880,Thread 9,16,25,1
976679376006901761,Thread 9,16,26,2
976680721082351616,Thread 9,15,24,1
976681540641067008,Thread 9,16,27,1
976681847622131712,Thread 9,20,54,16
999284927983243264,Thread 10,33,37,7
999290681439944704,Thread 10,6,10,2
999291415908806656,Thread 10,5,21,1
999291954734206976,Thread 10,3,10,1
999292568117669889,Thread 10,3,14,1
999295575026753538,Thread 10,5,13,2
999295877427712000,Thread 10,5,9,1
999298454588477440,Thread 10,6,20,1
999299371652050946,Thread 10,2,18,1
999300005264584706,Thread 10,4,14,1
999301873684353024,Thread 10,3,17,1
999302662603661318,Thread 10,1,9,2
999304042080808960,Thread 10,3,8,1
999304512140660736,Thread 10,9,9,4
999306100108333057,Thread 10,6,10,3
999306854097354752,Thread 10,5,14,2
999307688927551488,Thread 10,12,22,3
999323684761415680,Thread 10,6,12,1
999326018790985729,Thread 10,13,22,2
999327121582579712,Thread 10,16,31,1
976644199650127873,Thread 11,386,459,23
976644204024737792,Thread 11,65,102,1
976644205908029441,Thread 11,96,128,7
976644218142838784,Thread 11,100,127,4
976644231862325251,Thread 11,73,100,4
976644248178225152,Thread 11,69,90,6
976645720462721024,Thread 11,40,55,1
976646445595062272,Thread 11,87,106,3
976646819248857088,Thread 11,80,94,1
976648072112558080,Thread 11,63,82,2
976649138828963840,Thread 11,67,82,1
976649411588689921,Thread 11,40,64,1
976650868727656448,Thread 11,51,66,1
976651642081828864,Thread 11,56,80,4
976653323205074944,Thread 11,50,69,3
976653660812972039,Thread 11,49,81,1
976654354991276032,Thread 11,58,102,2
976654754217684994,Thread 11,52,110,2
976655197282893824,Thread 11,64,111,7
976843742396207104,Thread 11,71,76,5
975193491730034691,Thread 12,52,73,2
975193510897967111,Thread 12,17,28,4
975193517701193728,Thread 12,13,17,1
975193989417750529,Thread 12,15,21,2
975195117798780933,Thread 12,11,16,1
975195119015034880,Thread 12,18,22,2
975195811083583488,Thread 12,13,20,2
975196882426368001,Thread 12,28,23,1
975197868280688640,Thread 12,32,52,1
975206448132165632,Thread 12,12,20,1
975206450912952320,Thread 12,15,14,1
975206669381750784,Thread 12,12,20,2
975207499027697665,Thread 12,14,15,3
975207500143382528,Thread 12,8,11,1
975207502613766149,Thread 12,26,47,2
975207503788113920,Thread 12,33,28,4
975213362102571008,Thread 12,2,11,1
975222799999668225,Thread 12,2,7,0
973769227739025408,Thread 13,10,15,1
973769229404164096,Thread 13,0,1,1
973769233141321728,Thread 13,0,1,1
973769231199363073,Thread 13,0,1,1
973769237411049473,Thread 13,0,2,1
973769234978353154,Thread 13,0,3,1
973769242914025476,Thread 13,0,2,1
973769241055977472,Thread 13,0,1,1
973769239302635520,Thread 13,0,4,1
973769246613393409,Thread 13,0,2,1
973769244876951552,Thread 13,0,1,1
973769589623488512,Thread 13,0,3,1
973770111994777601,Thread 13,1,2,2
